company,total_layoffs,impacted_workforce_percentage,reported_date,industry,industryByStockMarket,headquarter_location,Latitude,Longitude,sources,status
C2FO,20,2,12/9/22,FinTech,Financials,Leawood,38.966673,-94.6169012,Kansas City Business Journal,Private
VideoAmp,Unclear,2,9/19/22,Marketing,Communication Services,Los Angeles,34.0549076,-118.242643,Company memo,Private
Amperity,13,3,8/20/22,SaaS,Information Technology,Seattle,47.6061389,-122.3328481,Geekwire,Private
Addepar,20,3,1/18/23,FinTech,Financials,Mountain View,37.3860517,-122.0838511,Fortune,Private
Thirty Madison,24,3,5/13/22,Health Care,Health Care,New York,40.7127753,-74.0059728,Axios,Private
NextRoll,Unclear,3,7/8/22,Marketing,Communication Services,San Francisco,37.7749295,-122.4194155,Business Insider,Private
Armis Security,25,4,12/8/22,Cybersecurity,Information Technology,San Francisco,37.7749295,-122.4194155,Calcalistech,Private
Foxtrot,26,4,9/23/22,E-commerce,Service,Chicago,41.8781136,-87.6297982,Chicago Business,Private
Headspace Health,50,4,12/14/22,Telehealth,Health Care,Los Angeles,34.0549076,-118.242643,Bloomberg,Private
RealSelf,11,5,7/21/22,Beauty,Service,Seattle,47.6061389,-122.3328481,GeekWire,Private
New Relic,110,5,8/18/22,Enterprise Software,Information Technology,Bay Area,37.8271784,-122.2913078,MarketWatch,Private
Abra,12,5,6/30/22,Cryptocurrency,Financials,Mountain View,37.3860517,-122.0838511,The Block,Private
Clarify Health,15,5,7/22/22,Health Care,Health Care,San Francisco,37.7749295,-122.4194155,Axios,Private
Argo AI,150,5,7/7/22,Transportation,Service,Pittsburgh,40.4406248,-79.9958864,TechCrunch,Private
Snyk,220,5,10/24/22,Cybersecurity,Information Technology,Boston,42.3600825,-71.0588801,Globes,Private
JOKR,50,5,6/16/22,Food,Service,New York,40.7127753,-74.0059728,TechCrunch,Private
Project44,63,5,7/15/22,Logistics,Service,Chicago,41.8781136,-87.6297982,FreightWaves,Private
Reef,750,5,5/6/22,Food,Service,Miami,25.7616798,-80.1917902,The Information,Private
Outreach,Unclear,5,8/2/22,Sales Tech,Communication Services,Seattle,47.6061389,-122.3328481,LinkedIn,Private
Boosted Commerce,Unclear,5,7/25/22,E-commerce,Service,Los Angeles,34.0549076,-118.242643,Business Insider,Private
Forward,Unclear,5,7/11/22,Health Care,Health Care,San Francisco,37.7749295,-122.4194155,Fierce Healthcare,Private
CoinDCX,100,6,1/11/23,Blockchain,Financials,"Mumbai, India",19.0759837,72.8776559,Biometric Update,Private
Food52,20,6,4/8/22,Media,Communication Services,New York,40.7127753,-74.0059728,Digiday,Private
Motive,237,6,12/7/22,Enterprise Software,Information Technology,San Francisco,37.7749295,-122.4194155,Motive,Private
Canoo,58,6,7/1/22,Transportation,Service,Torrance,33.8358492,-118.3406288,Business Insider,Private
Wonder,130,7,11/30/22,Food,Service,New York,40.7127753,-74.0059728,The Information,Private
Argyle,20,7,8/26/22,InsurTech,Financials,New York,40.7127753,-74.0059728,TechCrunch,Private
Kabam,35,7,11/9/22,Video Games,Communication Services,San Francisco,37.7749295,-122.4194155,TechCrunch,Private
Upstart,60,7,11/1/22,FinTech,Financials,San Carlos,37.5071591,-122.2605222,TechCrunch,Private
Gemini,68,7,7/18/22,Cryptocurrency,Financials,New York,40.7127753,-74.0059728,TechCrunch,Private
Faire,84,7,11/3/22,E-commerce,Service,San Francisco,37.7749295,-122.4194155,The Information,Private
Convoy,90,7,6/9/22,Logistics,Service,Seattle,47.6061389,-122.3328481,GeekWire,Private
DataRobot,Unclear,7,8/8/22,Artificial Intelligence,Information Technology,Boston,42.3600825,-71.0588801,Boston Globe,Private
ShipBob,Unclear,7,8/25/22,Logistics,Service,Chicago,41.8781136,-87.6297982,Business Insider,Private
ClickUp,Unclear,7,5/24/22,Productivity ,Service,San Diego,32.715738,-117.1610838,Protocol,Private
Innovaccer,120,8,9/1/22,Cloud Infrastructure,Information Technology,San Francisco,37.7749295,-122.4194155,Inc42,Private
StockX,120,8,6/28/22,E-commerce,Service,Detroit,42.331427,-83.0457538,The Information,Private
Albert,20,8,6/10/22,FinTech,Financials,Los Angeles,34.0549076,-118.242643,dot.LA,Private
Personetics,30,8,1/5/23,FinTech,Financials,New York,40.7127753,-74.0059728,Calcalistech,Private
Bright Machines,30,8,6/28/22,Robotics,Information Technology,San Francisco,37.7749295,-122.4194155,CTech,Private
Stash Financial,32,8,12/6/22,FinTech,Financials,New York,40.7127753,-74.0059728,Stash,Private
Dutchie,56,8,6/6/22,Cannabis,Health Care,Bend,44.0581728,-121.3153096,GeekWire,Private
Stord,59,8,6/3/22,Logistics,Service,Atlanta,33.748752,-84.3876845,Business Insider,Private
Niantic,85,8,6/29/22,Video Games,Communication Services,San Francisco,37.7749295,-122.4194155,Bloomberg,Private
Picsart,90,8,5/17/22,Media,Communication Services,Miami,25.7616798,-80.1917902,The Information,Private
Jellysmack,Unclear,8,6/9/22,Media,Communication Services,New York,40.7127753,-74.0059728,Business Insider,Private
Remote,100,9,7/6/22,HR Tech,Service,San Francisco,37.7749295,-122.4194155,Publico,Private
Vox Media,169,9,1/20/23,Media,Communication Services,Washington,38.9071923,-77.0368707,CNN,Private
Yotpo,70,9,11/16/22,Marketing,Communication Services,New York,40.7127753,-74.0059728,Calcalistech,Private
Aura,70,9,6/24/22,Cybersecurity,Information Technology,Boston,42.3600825,-71.0588801,Bank Info Security,Private
Komodo Health,78,9,12/13/22,Health Care,Health Care,San Francisco,37.7749295,-122.4194155,TechCrunch,Private
Jellyfish US,Unclear,9,1/13/23,Software,Information Technology,Boston,42.3600825,-71.0588801,BostonInno,Private
Khoros,120,10,10/21/22,SaaS,Information Technology,Austin,30.267153,-97.7430608,Austin Business News,Private
Bonterra,140,10,1/13/23,Finance,Financials,Austin,30.267153,-97.7430608,The Nonprofit Times,Private
Chargebee,142,10,11/2/22,FinTech,Financials,San Francisco,37.7749295,-122.4194155,TechCrunch,Private
6sense,150,10,10/12/22,Artificial Intelligence,Information Technology,San Francisco,37.7749295,-122.4194155,MoneyControl,Private
Relativity,150,10,12/7/22,Data Science,Information Technology,Chicago,41.8781136,-87.6297982,Crain's Chicago,Private
TIFIN,21,10,6/14/22,FinTech,Financials,Boulder,40.0149856,-105.2705456,Axios,Private
Lusha,30,10,7/18/22,Sales Tech,Communication Services,New York,40.7127753,-74.0059728,CTech,Private
Aqua Security,65,10,12/5/22,Security,Information Technology,Burlington,42.5047161,-71.1956205,Calcalistech,Private
Spin,78,10,9/30/22,Transportation,Service,San Francisco,37.7749295,-122.4194155,TechCrunch,Private
Verbit,80,10,7/5/22,Natural Language Processing,Information Technology,New York,40.7127753,-74.0059728,CTech,Private
ZenLedger,Unclear,10,12/9/22,Blockchain,Financials,Bellevue,47.6101497,-122.2015159,Blockworks,Private
Firework,Unclear,10,11/29/22,E-commerce,Communication Services,San Francisco,37.7749295,-122.4194155,The Information,Private
Mythical Games,Unclear,10,11/4/22,Video Games,Communication Services,Los Angeles,34.0549076,-118.242643,Bloomberg,Private
Apartment List,Unclear,10,8/31/22,PropTech,Real Estate,San Francisco,37.7749295,-122.4194155,CEO Matthew Woods,Private
impact.com,Unclear,10,8/25/22,Marketing,Communication Services,Santa Barbara,34.4208305,-119.6981901,impact.com,Private
80 Acres Farms,Unclear,10,1/18/23,AgTech,Energy,Hamilton,39.3995008,-84.5613355,CincinnatiInno,Private
98point6,Unclear,10,7/21/22,Health Care,Health Care,Seattle,47.6061389,-122.3328481,GeekWire,Private
Gemini,Unclear,10,6/2/22,FinTech,Financials,New York,40.7127753,-74.0059728,Bloomberg,Private
Side,Unclear,10,6/1/22,PropTech,Real Estate,San Francisco,37.7749295,-122.4194155,Inman,Private
Carta,200,10,1/11/23,FinTech,Financials,San Francisco,37.7749295,-122.4194155,TechCrunch,Private
ConsenSys,100,11,1/10/23,Cryptocurrency,Financials,New York,40.7127753,-74.0059728,CoinDesk,Private
Tipalti,123,11,1/11/23,FinTech,Financials,San Mateo,37.5629917,-122.3255254,Calcalistech,Private
Brex,136,11,10/11/22,FinTech,Financials,San Francisco,37.7749295,-122.4194155,TechCrunch,Private
Salsify,90,11,11/16/22,Cloud Computing,Information Technology,Boston,42.3600825,-71.0588801,Boston Business Journal,Private
SADA,Unclear,11,11/8/22,Cloud Computing,Information Technology,Los Angeles,34.0549076,-118.242643,SADA CEO,Private
Momentive,Unclear,11,10/14/22,Information Technology,Information Technology,Waterford,42.7926,-73.6812,TechCrunch,Private
Automox,Unclear,11,4/18/22,Security,Information Technology,Boulder,40.0149856,-105.2705456,LinkedIn,Private
Klarna,750,12,9/22/22,FinTech,Financials,Stockholm,59.3293235,18.0685808,Sifted,Private
JumpCloud,100,12,1/18/23,Cybersecurity,Financials,Louisville,38.2526647,-85.7584557,JumpCloud,Private
Chime,156,12,11/2/22,FinTech,Financials,San Francisco,37.7749295,-122.4194155,The Information,Private
Embroker,30,12,10/25/22,InsurTech,Financials,San Francisco,37.7749295,-122.4194155,The Insurer,Private
Divvy Homes,40,12,9/27/22,PropTech,Real Estate,San Franicsco,37.7749295,-122.4194155,The Information,Private
Ethos Life,40,12,6/24/22,InsurTech,Financials,San Francisco,37.7749295,-122.4194155,Coverager,Private
GoFundMe,94,12,10/26/22,Crowdfunding,Information Technology,Redwood City,37.4847955,-122.228141,GoFundMe,Private
Digital Currency Group,10,13,11/2/22,Cryptocurrency,Financials,Stamford,41.0534302,-73.5387341,Coindesk,Private
Intercom,124,13,11/14/22,Automation,Industrials,San Franicsco,37.7749295,-122.4194155,Silicon Republic,Private
SundaySky,24,13,7/11/22,Video Conferencing Software,Information Technology,New York,40.7127753,-74.0059728,Globes,Private
Chipper Cash,50,13,12/6/22,FinTech,Financials,San Francisco,37.7749295,-122.4194155,TechCrunch,Private
Udacity,55,13,10/11/22,Artificial Intelligence,Information Technology,Mountain View,37.3860517,-122.0838511,Udacity,Private
Sourcepoint,7,13,6/2/22,Marketing,Communication Services,New York,40.7127753,-74.0059728,Crunchbase News reporting,Private
Thirty Madison,Unclear,13,8/18/22,Health Care,Health Care,New York,40.7127753,-74.0059728,Fierce Healthcare,Private
Sendoso,100,14,6/6/22,Marketing,Communication Services,San Francisco,37.7749295,-122.4194155,Business Insider,Private
Malwarebytes,125,14,8/17/22,Enterprise Software,Information Technology,San Francisco,37.7749295,-122.4194155,TechCrunch,Private
Substack,13,14,6/29/22,Media,Communication Services,San Francisco,37.7749295,-122.4194155,New York Times,Private
Morning Brew,Unclear,14,11/17/22,Media,Communication Services,New York,40.7127753,-74.0059728,Max Tani,Private
Benitago Group,Unclear,14,11/4/22,E-commerce,Service,New York,40.7127753,-74.0059728,TechCrunch,Private
